curb-weight,engine-size,horsepower,city-mpg,highway-mpg,price
2548,130,111,21,27,13495
2548,130,111,21,27,16500
2823,152,154,19,26,16500
2337,109,102,24,30,13950
2824,136,115,18,22,17450
2507,136,110,19,25,15250
2844,136,110,19,25,17710
2954,136,110,19,25,18920
3086,131,140,17,20,23875
3053,131,160,16,22,?
2395,108,101,23,29,16430
2395,108,101,23,29,16925
2710,164,121,21,28,20970
2765,164,121,21,28,21105
3055,164,121,20,25,24565
3230,209,182,16,22,30760
3380,209,182,16,22,41315
3505,209,182,15,20,36880
1488,61,48,47,53,5151
1874,90,70,38,43,6295
1909,90,70,38,43,6575
1876,90,68,37,41,5572
1876,90,68,31,38,6377
2128,98,102,24,30,7957
1967,90,68,31,38,6229
1989,90,68,31,38,6692
1989,90,68,31,38,7609
2191,98,102,24,30,8558
2535,122,88,24,30,8921
2811,156,145,19,24,12964
1713,92,58,49,54,6479
1819,92,76,31,38,6855
1837,79,60,38,42,5399
1940,92,76,30,34,6529
1956,92,76,30,34,7129
2010,92,76,30,34,7295
2024,92,76,30,34,7295
2236,110,86,27,33,7895
2289,110,86,27,33,9095
2304,110,86,27,33,8845
2372,110,86,27,33,10295
2465,110,101,24,28,12945
2293,110,100,25,31,10345
2337,111,78,24,29,6785
1874,90,70,38,43,?
1909,90,70,38,43,?
2734,119,90,24,29,11048
4066,258,176,15,19,32250
4066,258,176,15,19,35550
3950,326,262,13,17,36000
1890,91,68,30,31,5195
1900,91,68,31,38,6095
1905,91,68,31,38,6795
1945,91,68,31,38,6695
1950,91,68,31,38,7395
2380,70,101,17,23,10945
2380,70,101,17,23,11845
2385,70,101,17,23,13645
2500,80,135,16,23,15645
2385,122,84,26,32,8845
2410,122,84,26,32,8495
2385,122,84,26,32,10595
2410,122,84,26,32,10245
2443,122,64,36,42,10795
2425,122,84,26,32,11245
2670,140,120,19,27,18280
2700,134,72,31,39,18344
3515,183,123,22,25,25552
3750,183,123,22,25,28248
3495,183,123,22,25,28176
3770,183,123,22,25,31600
3740,234,155,16,18,34184
3685,234,155,16,18,35056
3900,308,184,14,16,40960
3715,304,184,14,16,45400
2910,140,175,19,24,16503
1918,92,68,37,41,5389
1944,92,68,31,38,6189
2004,92,68,31,38,6669
2145,98,102,24,30,7689
2370,110,116,23,30,9959
2328,122,88,25,32,8499
2833,156,145,19,24,12629
2921,156,145,19,24,14869
2926,156,145,19,24,14489
2365,122,88,25,32,6989
2405,122,88,25,32,8189
2403,110,116,23,30,9279
2403,110,116,23,30,9279
1889,97,69,31,37,5499
2017,103,55,45,50,7099
1918,97,69,31,37,6649
1938,97,69,31,37,6849
2024,97,69,31,37,7349
1951,97,69,31,37,7299
2028,97,69,31,37,7799
1971,97,69,31,37,7499
2037,97,69,31,37,7999
2008,97,69,31,37,8249
2324,120,97,27,34,8949
2302,120,97,27,34,9549
3095,181,152,17,22,13499
3296,181,152,17,22,14399
3060,181,152,19,25,13499
3071,181,160,19,25,17199
3139,181,200,17,23,19699
3139,181,160,19,25,18399
3020,120,97,19,24,11900
3197,152,95,28,33,13200
3230,120,97,19,24,12440
3430,152,95,25,25,13860
3075,120,95,19,24,15580
3252,152,95,28,33,16900
3285,120,95,19,24,16695
3485,152,95,25,25,17075
3075,120,97,19,24,16630
3252,152,95,28,33,17950
3130,134,142,18,24,18150
1918,90,68,37,41,5572
2128,98,102,24,30,7957
1967,90,68,31,38,6229
1989,90,68,31,38,6692
2191,98,68,31,38,7609
2535,122,88,24,30,8921
2818,156,145,19,24,12764
2778,151,143,19,27,22018
2756,194,207,17,25,32528
2756,194,207,17,25,34028
2800,194,207,17,25,37028
3366,203,288,17,28,?
2579,132,?,23,31,9295
2460,132,?,23,31,9895
2658,121,110,21,28,11850
2695,121,110,21,28,12170
2707,121,110,21,28,15040
2758,121,110,21,28,15510
2808,121,160,19,26,18150
2847,121,160,19,26,18620
2050,97,69,31,36,5118
2120,108,73,26,31,7053
2240,108,73,26,31,7603
2145,108,82,32,37,7126
2190,108,82,28,33,7775
2340,108,94,26,32,9960
2385,108,82,24,25,9233
2510,108,111,24,29,11259
2290,108,82,28,32,7463
2455,108,94,25,31,10198
2420,108,82,23,29,8013
2650,108,111,23,23,11694
1985,92,62,35,39,5348
2040,92,62,31,38,6338
2015,92,62,31,38,6488
2280,92,62,31,37,6918
2290,92,62,27,32,7898
3110,92,62,27,32,8778
2081,98,70,30,37,6938
2109,98,70,30,37,7198
2275,110,56,34,36,7898
2275,110,56,38,47,7788
2094,98,70,38,47,7738
2122,98,70,28,34,8358
2140,98,70,28,34,9258
2169,98,70,29,34,8058
2204,98,70,29,34,8238
2265,98,112,26,29,9298
2300,98,112,26,29,9538
2540,146,116,24,30,8449
2536,146,116,24,30,9639
2551,146,116,24,30,9989
2679,146,116,24,30,11199
2714,146,116,24,30,11549
2975,146,116,24,30,17669
2326,122,92,29,34,8948
2480,110,73,30,33,10698
2414,122,92,27,32,9988
2414,122,92,27,32,10898
2458,122,92,27,32,11248
2976,171,161,20,24,16558
3016,171,161,19,24,15998
3131,171,156,20,24,15690
3151,161,156,19,24,15750
2261,97,52,37,46,7775
2209,109,85,27,34,7975
2264,97,52,37,46,7995
2212,109,85,27,34,8195
2275,109,85,27,34,8495
2319,97,68,37,42,9495
2300,109,100,26,32,9995
2254,109,90,24,29,11595
2221,109,90,24,29,9980
2661,136,110,19,24,13295
2579,97,68,33,38,13845
2563,109,88,25,31,12290
2912,141,114,23,28,12940
3034,141,114,23,28,13415
2935,141,114,24,28,15985
3042,141,114,24,28,16515
3045,130,162,17,22,18420
3157,130,162,17,22,18950
2952,141,114,23,28,16845
3049,141,160,19,25,19045
3012,173,134,18,23,21485
3217,145,106,26,27,22470
3062,141,114,19,25,22625
